"Year","Month","Month Name","State","City","Store name","Lines","Category","Sales revenue","Quantity sold","Margin"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Accessories","Belts,bags,wallets","7137.8","56","2802.7"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Accessories","Hair accessories","2188.4","11","603.1"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Accessories","Hats,gloves,scarves","14815.8","110","6698.1"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Accessories","Jewelry","11991.3","92","4905.3"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Accessories","Lounge wear","440.8","4","169.9"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","City Skirts","Full length","1421.8","8","599.5"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","City Trousers","Bermudas","555.2","4","156.7"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","City Trousers","Long lounge pants","1440","9","688.5"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Dresses","Casual dresses","236.4","2","2.6"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Dresses","Evening wear","5958.7","48","2735.5"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Dresses","Sweater dresses","1072","7","534.3"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Jackets","Boatwear","409.5","3","189.1"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Jackets","Fancy fabric","2393.4","17","1109.1"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Jackets","Outdoor","291.3","2","96.9"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Leather","Pants","127.3","1","49.2"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Leather","Shirts","656.2","4","226.2"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Overcoats","Dry wear","1823","10","890"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Overcoats","Wet wear","1157","7","397.3"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Shirt Waist","2 Pocket shirts","3720.1","19","1737"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Shirt Waist","Long sleeve","1497.4","11","666.1"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Shirt Waist","Short sleeve","6079.4","36","2967.2"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Sweaters","Cardigan","3955.4","22","1973.6"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Sweaters","Soft fabric","154.8","1","67"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Sweaters","Turtleneck","2341.4","14","592.4"
"2014","1","January","California","Los Angeles","e-Fashion Los Angeles","Sweat-T-Shirts","Sweats","182.3","1","95.6"
